Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Close Day,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net P&L
29/01/2021,WSPH21,222.0,3742.69594594595,1002.0,3722.53942115768,3720.0,5.4759,5.1967,No,-204.0,-542114.1,-34142.23650007622,36.72,2.84,12.385714285714284,1478.8145255999998,-577771.8710256763
01/02/2021,WSPH21,257.0,3745.77723735409,193.0,3748.2396373057,3774.0,5.4635,5.4759,No,-140.0,-150464.79,31162.438124985165,13.5,2.84,20.047619047619044,399.6749892,-119715.52686421483
02/02/2021,WSPH21,23.0,3810.08695652174,43.0,3823.40697674419,3827.0,5.3525,5.4759,No,-160.0,-99288.875,3137.903125002124,1.98,2.84,20.047619047619044,66.8716908,-96219.82356579788
03/02/2021,WSPH21,75.0,3831.84,15.0,3831.266666666671,3830.5,5.3732,5.4759,No,-100.0,-7522.48,-1195.536999999279,2.6999999999999997,2.84,20.047619047619044,116.63667000000001,-8837.35366999928
04/02/2021,WSPH21,23.0,3832.27173913044,63.0,3844.15476190476,3860.75,5.4423,5.4759,No,-140.0,-41157.39375,-5313.045375003168,2.58,2.84,20.047619047619044,97.9748028,-46570.993927803174
05/02/2021,WSPH21,40.0,3879.6875,60.0,3881.416666666671,3884.0,5.3627,5.4759,No,-160.0,-43638.97125,234.61812500353608,3.0,2.84,20.047619047619044,93.309336,-43500.662460996464
08/02/2021,WSPH21,29.0,3896.3103448275897,51.0,3893.8529411764703,3906.0,5.3565,5.4759,No,-182.0,-47137.2,-4532.93812500157,2.4,2.84,16.81904761904762,79.31293560000002,-51751.85106060157
09/02/2021,WSPH21,5.0,3900.95,43.0,3902.5755813953497,3907.0,5.375,5.4759,No,-220.0,-2445.625,-2149.9999999995052,1.44,2.84,16.81904761904762,66.8716908,-4663.9366907995045
10/02/2021,WSPH21,61.0,3897.41803278689,161.0,3898.68633540373,3904.25,5.3742,5.4759,No,-320.0,8128.4775,-6435.604499996597,6.66,2.84,16.81904761904762,250.3800516,1435.832948403403
11/02/2021,WSPH21,40.0,3910.125,0.0,0.0,3913.0,5.3906,5.4759,No,-280.0,-37734.2,1549.7975000000001,1.2,2.84,16.81904761904762,62.206224,-36247.808723999995
12/02/2021,WSPH21,62.0,3922.36290322581,2.0,3905.0,3934.75,5.3712,5.4759,No,-220.0,-81776.52,9513.737999997056,1.92,2.84,16.81904761904762,96.4196472,-72361.12164720295
17/02/2021,WSPH21,31.0,3909.07258064516,43.0,3917.83720930233,3928.0,5.4184,5.4759,No,-232.0,20115.81,2028.5135000030432,2.2199999999999998,2.84,14.366666666666669,66.8716908,22075.231809203044
18/02/2021,WSPH21,180.0,3902.9180555555604,108.0,3901.56481481481,3909.5,5.4403,5.4759,No,-160.0,58374.418999999994,4457.645812480777,8.64,2.84,14.366666666666669,279.92800800000003,62543.49680448077
19/02/2021,WSPH21,41.0,3912.6646341463397,40.0,3909.125,3905.5,5.4097,5.4759,No,-159.0,8655.52,-2011.7321874990344,2.4299999999999997,2.84,14.366666666666669,63.761379600000005,6577.596432900967
22/02/2021,WSPH21,124.0,3877.44758064516,44.0,3882.13636363636,3873.5,5.442,5.4759,No,-79.0,69222.24,-1489.7475000002228,5.04,2.84,14.242857142857142,192.8392944,67534.6132055998
23/02/2021,WSPH21,93.0,3845.20967741935,333.0,3851.17117117117,3881.75,5.4317,5.4759,No,-319.0,-8850.2761875,-92128.42162499912,12.78,2.84,14.242857142857142,517.8668148,-101509.34462729911
24/02/2021,WSPH21,161.0,3879.1599378882,122.0,3894.75,3925.0,5.4249,5.4759,No,-280.0,-187114.9726875,50041.31193749696,8.49,2.84,14.242857142857142,250.3800516,-137332.53080160302
25/02/2021,WSPH21,25.0,3909.69,65.0,3907.74230769231,3830.0,5.5096,5.4759,No,-320.0,366388.39999999997,42162.21400000211,2.6999999999999997,2.84,14.242857142857142,101.085114,408446.82888600207
26/02/2021,WSPH21,681.0,3825.238619676951,661.0,3824.51588502269,3822.5,5.582000000000002,5.4759,No,-300.0,33492.00000000001,-7431.0375000804315,40.26,2.84,14.242857142857142,1059.0609636,24961.641536319577
01/03/2021,WSPH21,171.0,3870.5292397660796,71.0,3857.2781690140796,3898.0,5.599,5.5302,No,-200.0,-317043.375,25282.98437500049,7.26,2.84,17.785714285714285,268.5686328,-292036.21925779956
02/03/2021,WSPH21,89.0,3891.84831460674,29.0,3893.956896551721,3877.0,5.6817,5.5302,No,-140.0,59657.85,-11785.97643749947,3.54,2.84,17.785714285714285,139.7813352,47728.552227300526
03/03/2021,WSPH21,311.0,3862.9622186495203,244.0,3856.36885245902,3821.5,5.7364,5.5302,No,-73.0,111429.56999999999,-62910.38174999833,16.65,2.84,17.785714285714285,488.4493848000001,48014.088865201666
04/03/2021,WSPH21,590.0,3773.695762711861,917.0,3782.47191930207,3770.0,5.6389,5.5302,No,-400.0,52998.61137499999,130487.670312505,45.21,2.84,17.785714285714285,1440.2189256,182000.852761905
05/03/2021,WSPH21,300.0,3753.9558333333293,240.0,3764.2083333333294,3844.0,5.6846,5.5302,No,-340.0,-420660.39999999997,111748.57737500362,16.2,2.84,17.785714285714285,471.17304,-309399.1956649964
