Date,Ticker,Buy Quant,Buy Price,Sell Quant,Sell Price,Px Close,Dolar Ref,Dolar Ref Last Month,Hold Pos,MtoM P&L,Gross P&L,Comm,Register Fee,Avg Weekly Traded Vol,Exc Fee,Net Prof Loss
12/01/2021,ISPH21,0.0,0.0,19.0,3801.9605263157896,3803.5,5.3565,5.1805,-81.0,-190959.22499999998,-7833.88124999939,19.0,2.61,48.857142857142854,256.900995,-199069.00724499937
13/01/2021,ISPH21,19.0,3798.1315789473706,20.0,3808.4,3811.0,5.3125,5.1805,-82.0,-161367.1875,51132.812499989486,39.0,2.61,48.857142857142854,270.4221,-110543.7971000105
14/01/2021,ISPH21,7.0,3802.0,16.0,3794.546875,3793.0,5.1989,5.1805,-91.0,383678.82,-9942.89625,23.0,2.61,48.857142857142854,216.33768,373496.58607
15/01/2021,ISPH21,38.0,3769.48684210526,8.0,3768.90625,3758.5,5.2961,5.1805,-61.0,831355.2975,-88511.0712499699,46.0,2.61,48.857142857142854,513.80199,742284.4242600302
18/01/2021,ISPH21,8.0,3768.0,8.0,3767.9375,3762.25,5.281000000000001,5.1805,-61.0,-60401.43750000001,-132.025,16.0,2.61,30.714285714285715,108.16884,-60657.63134000001
19/01/2021,ISPH21,8.0,3791.59375,4.0,3787.1875,3791.5,5.3533,5.1805,-57.0,-477581.27625,-4817.97,12.0,2.61,30.714285714285715,108.16884,-482519.41508999997
20/01/2021,ISPH21,6.0,3824.291666666671,13.0,3842.86538461539,3850.5,5.3166,5.1805,-64.0,-893986.29,15418.14000001233,19.0,2.61,30.714285714285715,175.77436500000002,-878762.9243649876
21/01/2021,ISPH21,2.0,3844.875,11.0,3850.0,3852.0,5.3725,5.1805,-73.0,-25787.999999999996,-2081.84375,13.0,2.61,30.714285714285715,148.732155,-28031.575904999998
22/01/2021,ISPH21,24.0,3836.9895833333294,14.0,3826.5535714285706,3838.5,5.465,5.1805,-63.0,269287.875,-35795.74999997713,38.0,2.61,30.714285714285715,324.50652,233129.61848002288
26/01/2021,ISPH21,7.0,3850.285714285711,13.0,3857.057692307689,3860.0,5.3514,5.1805,-69.0,-362423.565,7960.207499995255,20.0,2.61,31.38095238095238,175.77436500000002,-354659.1318650048
27/01/2021,ISPH21,57.0,3786.2850877193,57.0,3782.828947368421,3752.0,5.377999999999999,5.1805,-69.0,2003842.7999999998,-52973.30000003069,114.0,2.61,31.38095238095238,770.7029849999999,1949984.797014969
28/01/2021,ISPH21,38.0,3790.4473684210498,26.0,3802.4423076923104,3788.75,5.4287,5.1805,-57.0,-688291.30125,79123.30250004839,64.0,2.61,31.38095238095238,513.80199,-609745.8007399515
29/01/2021,ISPH21,56.0,3723.33035714286,51.0,3721.21568627451,3720.0,5.4759,5.1805,-52.0,1072934.15625,-34087.47750004121,107.0,2.61,31.38095238095238,757.18188,1037982.4968699587
